Name,SFCLink,ROs,Reps,Total,Reps v total%,LicenseStats,Licensed
INNOVAX FUTURES LIMITED,SFClicensees.asp?p=22244911&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22244911&a=0,2019-06-28
INTERNATIONAL STANDARD RESOURCES SECURITIES LIMITED,SFClicensees.asp?p=2586905&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=2586905&a=0,2018-10-05
INTEWISE CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=12644967&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12644967&a=0,2019-02-15
INV ADVISORY LIMITED,SFClicensees.asp?p=2253334&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2253334&a=0,2016-09-19
IronBirch Capital Limited,SFClicensees.asp?p=22980069&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22980069&a=0,2019-11-13
iVenture Investment Management Limited,SFClicensees.asp?p=44664&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=44664&a=0,
J-Stone Capital Limited,SFClicensees.asp?p=23499460&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23499460&a=0,2019-12-18
JD Advisory Hong Kong Limited,SFClicensees.asp?p=12797622&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12797622&a=0,2019-08-26
JIANG TIE INTERNATIONAL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=14633494&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=14633494&a=0,2019-01-29
Jinde Asset Management (Hong Kong) Limited,SFClicensees.asp?p=2575847&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2575847&a=0,2016-11-16
JOLMO CAPITAL LIMITED,SFClicensees.asp?p=131946&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131946&a=0,2005-03-31
JT International Financial Limited,SFClicensees.asp?p=17782323&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=17782323&a=0,2019-03-22
Kaifeng Investment Management (Hong Kong) Limited,SFClicensees.asp?p=2539946&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2539946&a=0,2016-11-04
Kairous Capital (HK) Limited,SFClicensees.asp?p=2489991&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2489991&a=0,2016-11-15
KALIS INVESTMENTS LIMITED,SFClicensees.asp?p=1636292&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1636292&a=0,2011-11-07
KARFORD SECURITIES LIMITED,SFClicensees.asp?p=50893&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=50893&a=0,
Keypoint Asset Management Company Limited,SFClicensees.asp?p=17123311&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=17123311&a=0,2019-05-30
KIN BRIDGE CAPITAL LIMITED,SFClicensees.asp?p=2313329&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2313329&a=0,2016-03-04
Kingsmead Asset Management (HK) Pte. Limited,SFClicensees.asp?p=2474193&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2474193&a=0,2016-09-20
Kinlou Wealth Management Limited,SFClicensees.asp?p=12852789&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12852789&a=0,2019-08-02
KOALA CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=2674039&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2674039&a=0,2017-10-03
Koi Investment Partners International Limited,SFClicensees.asp?p=131708&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131708&a=0,2010-11-05
"Kylin International (HK) Co., Limited",SFClicensees.asp?p=1797361&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1797361&a=0,2014-04-04
LEE GO SECURITIES LIMITED,SFClicensees.asp?p=2233659&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2233659&a=0,2019-07-10
Leo Asset Management Limited,SFClicensees.asp?p=12675788&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12675788&a=0,2018-08-28
Libra Capital Management (HK) Limited,SFClicensees.asp?p=131828&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131828&a=0,2007-10-10
Lifan International Asset Management Limited,SFClicensees.asp?p=11787333&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=11787333&a=0,2019-06-03
Light & Salt Capital Management Limited,SFClicensees.asp?p=2198462&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2198462&a=0,2014-09-10
Linden Advisors (HK) Limited,SFClicensees.asp?p=1929641&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1929641&a=0,2013-01-22
Linkriver Capital Management Limited,SFClicensees.asp?p=11777425&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=11777425&a=0,2018-05-18
LONG SUCCESS CAPITAL LIMITED,SFClicensees.asp?p=2693183&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=2693183&a=0,2017-09-27
LONGMEGA ASSET INVESTMENT MANAGEMENT LIMITED,SFClicensees.asp?p=2546882&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2546882&a=0,2016-12-28
LOTUS ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=13568049&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=13568049&a=0,2019-01-14
LUMINARY CAPITAL LIMITED,SFClicensees.asp?p=57518&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=57518&a=0,2007-11-14
Lumineux Asset Management Limited,SFClicensees.asp?p=22890740&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22890740&a=0,2020-01-15
Lux Capital Management Limited,SFClicensees.asp?p=2636709&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2636709&a=0,2017-07-20
M Power Capital Asset Management Limited,SFClicensees.asp?p=12683467&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12683467&a=0,2019-11-22
M Science Hong Kong Limited,SFClicensees.asp?p=22685201&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22685201&a=0,2020-01-07
MAGUSTA SECURITIES LIMITED,SFClicensees.asp?p=50926&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=50926&a=0,
MAINLAND ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=22238179&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22238179&a=0,2019-09-03
Major Domus Limited,SFClicensees.asp?p=2319935&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2319935&a=0,2016-04-20
Makto Capital Management Limited,SFClicensees.asp?p=2622307&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=2622307&a=0,2017-02-07
MAP Partners Limited,SFClicensees.asp?p=23081978&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23081978&a=0,2019-11-05
MAPLE LEAF CAPITAL (HK) LIMITED,SFClicensees.asp?p=131634&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131634&a=0,2008-04-16
Masan Capital Limited,SFClicensees.asp?p=23192629&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23192629&a=0,2019-12-10
MASECO Asia Limited,SFClicensees.asp?p=2537507&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2537507&a=0,2016-10-07
MATTERHORN INVESTMENT MANAGEMENT (ASIA) LIMITED,SFClicensees.asp?p=131595&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131595&a=0,2008-10-28
METRO CAPITAL SECURITIES LIMITED,SFClicensees.asp?p=36197&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=36197&a=0,
Metropoly Capital (HK) Limited,SFClicensees.asp?p=22948425&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22948425&a=0,2019-11-01
MFIO Capital Limited,SFClicensees.asp?p=21605889&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=21605889&a=0,2019-12-13
MG Investment Funds Limited,SFClicensees.asp?p=131976&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131976&a=0,2010-02-22
Milma & Co. Limited,SFClicensees.asp?p=131987&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131987&a=0,2008-09-24
Minerva Investments Limited (HK),SFClicensees.asp?p=2557101&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2557101&a=0,2016-10-25
Minority Asset Management Limited,SFClicensees.asp?p=23172813&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23172813&a=0,2020-01-16
Mintai Asset Management Limited,SFClicensees.asp?p=2566904&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2566904&a=0,2018-11-27
Minter Capital Management Limited,SFClicensees.asp?p=2592630&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2592630&a=0,2017-04-07
MORRIS ZENDER FUND MANAGEMENT LIMITED,SFClicensees.asp?p=51726&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=51726&a=0,2004-09-21
MTI Management (HK) Limited,SFClicensees.asp?p=2008068&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2008068&a=0,2016-06-21
Myo Capital Advisers Limited,SFClicensees.asp?p=82531&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=82531&a=0,2007-11-16
Nan Guo International Securities Limited,SFClicensees.asp?p=2290059&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2290059&a=0,2016-05-19
Navire International Investment Limited,SFClicensees.asp?p=12879526&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=12879526&a=0,2018-12-13
Neumann Advisory Hong Kong Limited,SFClicensees.asp?p=2383192&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2383192&a=0,2015-12-23
NEW ASIA FERRELL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2640157&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2640157&a=0,2018-11-02
NEW HUADU ASSET MANAGEMENT (HONG KONG) LIMITED,SFClicensees.asp?p=23265328&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23265328&a=0,2019-12-02
NEW PACIFIC CAPITAL LIMITED,SFClicensees.asp?p=132037&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=132037&a=0,2010-09-17
NEW YORK LIFE INVESTMENT MANAGEMENT HONG KONG LIMITED,SFClicensees.asp?p=22865674&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22865674&a=0,2019-11-08
NNFE International Asset Management Limited,SFClicensees.asp?p=2147670&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2147670&a=0,2017-12-07
NORMAN KONG SECURITIES COMPANY LIMITED,SFClicensees.asp?p=50957&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=50957&a=0,
North Oakridge Asset Management Limited,SFClicensees.asp?p=2600059&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2600059&a=0,2017-03-23
Numerical Universe Asset Management Limited,SFClicensees.asp?p=19163503&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=19163503&a=0,2019-02-04
NUOXIN CAPITAL (HONG KONG) LIMITED,SFClicensees.asp?p=62352&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=62352&a=0,2006-08-24
Oak Hill Advisors (Hong Kong) Limited,SFClicensees.asp?p=2296379&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2296379&a=0,2015-08-19
OAKLANDS PATH CAPITAL MANAGEMENT LIMITED,SFClicensees.asp?p=2312296&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2312296&a=0,2015-06-11
OASIS INVESTMENT MANAGEMENT LIMITED,SFClicensees.asp?p=131759&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131759&a=0,
Ocean Blue Economic Asset Management Company Limited,SFClicensees.asp?p=1726819&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1726819&a=0,2014-12-30
Oceanpine Capital Management Limited,SFClicensees.asp?p=12652616&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12652616&a=0,2019-01-15
Ohra Capital Partners Limited,SFClicensees.asp?p=131977&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131977&a=0,2010-08-27
Old Peak Capital Limited,SFClicensees.asp?p=2222154&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2222154&a=0,2014-07-08
OMNIX CAPITAL LIMITED,SFClicensees.asp?p=65737&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=65737&a=0,2009-03-19
Oneday Asset Management Limited,SFClicensees.asp?p=2208794&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2208794&a=0,2014-09-04
ONEDAY CORPORATE FINANCE LIMITED,SFClicensees.asp?p=14625157&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=14625157&a=0,2018-11-01
Optimus Prime Asset Management Company Limited,SFClicensees.asp?p=11788550&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=11788550&a=0,2018-05-11
ORIENS ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=23026869&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23026869&a=0,2020-01-17
ORIENT CAPITAL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2524859&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2524859&a=0,2017-02-28
ORIENT VICTORY AZURE ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=133445&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=133445&a=0,2011-11-07
ORIENT VICTORY AZURE CAPITAL LIMITED,SFClicensees.asp?p=2000484&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2000484&a=0,2013-11-08
ORION INVESTMENT MANAGEMENT LIMITED,SFClicensees.asp?p=74907&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=74907&a=0,2009-11-06
OUTSET GLOBAL (HONG KONG) LIMITED,SFClicensees.asp?p=22926006&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22926006&a=0,2019-11-20
OX Financial Assets Management Limited,SFClicensees.asp?p=2607762&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2607762&a=0,2019-02-08
PACIFIC GROUP LIMITED (THE),SFClicensees.asp?p=86725&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=86725&a=0,
Paradigm Advisors Holdings (Hong Kong) Limited,SFClicensees.asp?p=2655921&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2655921&a=0,2019-12-11
PARTNERS BAY (HK) LIMITED,SFClicensees.asp?p=23134561&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=23134561&a=0,2019-08-20
PARTNERS CAPITAL INTERNATIONAL LIMITED,SFClicensees.asp?p=16415&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=16415&a=0,
PASSAGE INVESTMENT MANAGEMENT LIMITED,SFClicensees.asp?p=2419302&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2419302&a=0,2015-09-09
Patria Investments Hong Kong Limited,SFClicensees.asp?p=10967116&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=10967116&a=0,2018-10-03
PATRIZIA Hong Kong Limited,SFClicensees.asp?p=12508601&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12508601&a=0,2018-12-19
Pearl Bridge Asset Management Limited,SFClicensees.asp?p=13225158&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=13225158&a=0,2019-01-15
PEMBERTON INVESTMENTS (HONG KONG) LIMITED,SFClicensees.asp?p=131858&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131858&a=0,2010-04-08
Perfect World Asset Management Limited,SFClicensees.asp?p=2462068&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2462068&a=0,2017-09-11
PERPETUUM WEALTH MANAGEMENT LIMITED,SFClicensees.asp?p=131561&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131561&a=0,2010-09-21
PFC INTERNATIONAL COMPANY LIMITED,SFClicensees.asp?p=78233&a=0&h=Y&sort=posdn&d=2020-01-22,0,2,2,100.00,SFChistfirm.asp?p=78233&a=0,2008-07-29
Phoenician Advisory Services Limited,SFClicensees.asp?p=2602186&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2602186&a=0,2017-05-31
PIPER JAFFRAY HONG KONG LIMITED,SFClicensees.asp?p=1964103&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1964103&a=0,2015-08-13
Pixiu Asset Management Limited,SFClicensees.asp?p=2684369&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=2684369&a=0,2017-06-28
PLATFORM ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2383359&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2383359&a=0,2015-06-26
PLATINUM BROKING COMPANY LIMITED,SFClicensees.asp?p=50238&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=50238&a=0,2011-02-21
Po Lee Asset Management Limited,SFClicensees.asp?p=6707443&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=6707443&a=0,2017-09-26
Po Lee Investment Consultant Limited,SFClicensees.asp?p=6707436&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=6707436&a=0,2017-09-26
Poly Wealth Securities Limited,SFClicensees.asp?p=2453706&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2453706&a=0,2017-08-08
Portcullis Investment Office Limited,SFClicensees.asp?p=2357273&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2357273&a=0,2018-01-31
POSEIDON HILL CAPITAL LIMITED,SFClicensees.asp?p=2324386&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2324386&a=0,2017-06-27
POTOMAC CAPITAL LIMITED (HK),SFClicensees.asp?p=131721&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131721&a=0,2004-03-08
Power Corporate Finance Company Limited,SFClicensees.asp?p=2425530&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2425530&a=0,2016-01-12
PRESTIGE ASSET MANAGEMENT LIMITED (HK),SFClicensees.asp?p=2512965&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2512965&a=0,2016-11-15
PROSPER GLOBAL ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=7472100&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=7472100&a=0,2018-01-09
Protocol Asset Management (HK) Limited,SFClicensees.asp?p=22388244&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22388244&a=0,2019-11-21
Proton Capital Limited,SFClicensees.asp?p=53077&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=53077&a=0,2007-10-16
Prunus Capital Management Limited,SFClicensees.asp?p=2369623&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2369623&a=0,2015-05-12
QH Asset Management Company Limited,SFClicensees.asp?p=2149239&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=2149239&a=0,2014-07-03
Qilin Capital Management (Hong Kong) Limited,SFClicensees.asp?p=11786800&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=11786800&a=0,2017-12-13
QUANTA FINANCIAL GROUP LIMITED,SFClicensees.asp?p=2576599&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2576599&a=0,2018-01-18
QUEST STOCKBROKERS (HK) LIMITED,SFClicensees.asp?p=15730&a=0&h=Y&sort=posdn&d=2020-01-22,1,1,2,50.00,SFChistfirm.asp?p=15730&a=0,
Realway (Hong Kong) Assets Management Limited,SFClicensees.asp?p=22504049&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22504049&a=0,2020-01-16
Regent Capital Management Limited,SFClicensees.asp?p=22333112&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=22333112&a=0,2019-03-12
RELIANCE INTERNATIONAL FINANCIAL PLANNERS LIMITED,SFClicensees.asp?p=131762&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131762&a=0,2011-01-07
Rencent International Asset Management Company Limited,SFClicensees.asp?p=1769143&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1769143&a=0,2013-10-10
RICH CAPITAL INTERNATIONAL INVESTMENT LIMITED,SFClicensees.asp?p=2049415&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2049415&a=0,2014-09-02
River Capital Limited (HK),SFClicensees.asp?p=2467837&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2467837&a=0,2016-03-22
Rongchong Finance Management Limited,SFClicensees.asp?p=2548211&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2548211&a=0,2019-01-07
Rostrum Grand Limited,SFClicensees.asp?p=11728656&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=11728656&a=0,2017-12-12
"ROYAL FUND MANAGEMENT CO., LIMITED",SFClicensees.asp?p=2692616&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2692616&a=0,2017-09-27
RP ASSET MANAGEMENT LIMITED,SFClicensees.asp?p=2664160&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2664160&a=0,2017-09-01
RREEF China REIT Management Limited,SFClicensees.asp?p=39971&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=39971&a=0,2007-06-01
SAIF Everwell Asset Management Hong Kong Limited,SFClicensees.asp?p=10014968&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=10014968&a=0,2018-04-18
Saining Capital Management Company Limited,SFClicensees.asp?p=12050853&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=12050853&a=0,2019-09-18
SAPIENTIA CAPITAL LIMITED,SFClicensees.asp?p=2709986&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2709986&a=0,2018-03-22
SCK Assets Management Limited,SFClicensees.asp?p=16048093&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=16048093&a=0,2019-03-06
Seeds International Asset Management Limited,SFClicensees.asp?p=21043087&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=21043087&a=0,2019-04-18
Seres Asset Management Limited,SFClicensees.asp?p=131606&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131606&a=0,2010-04-14
SGI Capital Asset Management Limited,SFClicensees.asp?p=2517016&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=2517016&a=0,2016-08-30
Sheng Yuan Sino Asset Management Limited,SFClicensees.asp?p=131818&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=131818&a=0,2005-09-09
SIFT CAPITAL PARTNERS LIMITED,SFClicensees.asp?p=1532674&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=1532674&a=0,2013-10-28
Silver Spring Capital Management Limited,SFClicensees.asp?p=75873&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=75873&a=0,2009-10-30
SINO CAPITAL SECURITIES LIMITED,SFClicensees.asp?p=49327&a=0&h=Y&sort=posdn&d=2020-01-22,2,0,2,0.00,SFChistfirm.asp?p=49327&a=0,
